id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
SENIOR_CORE_5225	Jane Austin	n. 简.奥斯丁	/Jane Austin/	/Jane Austin/			
SENIOR_CORE_4210	Jody Williams	n. 乔迪•威廉斯（美国诺贝尔和平奖得者）	/Jody Williams/	/Jody Williams/			
SENIOR_CORE_3918	Johann Webber	n. 约翰•韦伯（男名）	/Johann Webber/	/Johann Webber/			
SENIOR_CORE_4064	keep one’s word	n. 守信用；履行诺言	/keep one’s word/	/keep one’s word/			
SENIOR_CORE_4244	keep…free from	n. 使……免受（影响；害等）；使……不含（有害物）	/keep…free from/	/keep…free from/			
SENIOR_CORE_4243	keep…free of	n. 使……免受（影响；害等）；使……不含（有害物）	/keep…free of/	/keep…free of/			
SENIOR_CORE_5830	knock into sb.	n. 撞上某人	/knock into sb./	/knock into sb./			
SENIOR_CORE_5655	knock sb. over	n. 撞倒某人	/knock sb. over/	/knock sb. over/			
SENIOR_CORE_5293	Lake Taupo	n. 陶波湖（新西兰最大湖）	/Lake Taupo/	/Lake Taupo/			
SENIOR_CORE_4780	Lake Titicaca	n. 的的喀喀湖	/Lake Titicaca/	/Lake Titicaca/			
SENIOR_CORE_4681	Larry Belmont	n. 拉里•贝尔蒙特	/Larry Belmont/	/Larry Belmont/			
SENIOR_CORE_4215	lead a…life	n. 过着……的生活	/lead a…life/	/lead a…life/			
SENIOR_CORE_4690	leave…alone	n. 不管；别惹；让……一个人待着；和……单独在一起	/leave…alone/	/leave…alone/			
SENIOR_CORE_4344	link…to…	n. 将……和……联系或连接起来	/link…to…/	/link…to…/			
SENIOR_CORE_5134	Lionel Greenstreet	n. 莱昂内尔.格林斯特里特	/Lionel Greenstreet/	/Lionel Greenstreet/			
SENIOR_CORE_4358	London Heathrow Airport	n. 伦敦希思罗机场	/London Heathrow Airport/	/London Heathrow Airport/			
SENIOR_CORE_5987	look sb.in the eye	n. 正视某人	/look sb.in the eye/	/look sb.in the eye/			
SENIOR_CORE_4399	lose sight of…	n. 看不见……	/lose sight of…/	/lose sight of…/			
SENIOR_CORE_5884	Maha Kumbh Mela	n. (印度每12年一次的)瓦罐庙会	/Maha Kumbh Mela/	/Maha Kumbh Mela/			
SENIOR_CORE_5327	make of sb	n. 了解，理解	/make of sb/	/make of sb/			
SENIOR_CORE_5326	make of sth	n. 了解，理解	/make of sth/	/make of sth/			
SENIOR_CORE_4907	make one’s acquaintance	n. 结识；与……相见	/make one’s acquaintance/	/make one’s acquaintance/			
SENIOR_CORE_4626	make one’s way	n. 前往;行进	/make one’s way/	/make one’s way/			
SENIOR_CORE_3823	make up one’s mind	n. 下决心；决定	/make up one’s mind/	/make up one’s mind/			
SENIOR_CORE_5176	Maryann Jines	n. 玛丽安.琼斯	/Maryann Jines/	/Maryann Jines/			
SENIOR_CORE_4699	master’s degree	n. 硕士学位	/master’s degree/	/master’s degree/			
SENIOR_CORE_4322	Merlin the Wizard	n. 魔术师梅林	/Merlin the Wizard/	/Merlin the Wizard/			
SENIOR_CORE_3993	Milu deer	n. 麋鹿	/Milu deer/	/Milu deer/			
SENIOR_CORE_5177	Montgommery	n. 蒙哥马利（城市名）	/Montgommery/	/Montgommery/			
SENIOR_CORE_4621	Mount  Kilauea	n. 基拉韦厄火山	/Mount  Kilauea/	/Mount  Kilauea/			
SENIOR_CORE_5664	name... after	n. 以……的名字给某人某物命名	/name... after/	/name... after/			
SENIOR_CORE_5063	Nathaniel Ward	n. 纳撒尼尔.沃德	/Nathaniel Ward/	/Nathaniel Ward/			
SENIOR_CORE_3767	not…any longer	n. 不再……	/not…any longer/	/not…any longer/			
SENIOR_CORE_5659	on one's side	n. 侧身	/on one's side/	/on one's side/			
