id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
JUNIOR_CORE_2386	get on well (with)	n. 和睦相处，关系良好	/get on well (with)/	/get on well (with)/			
JUNIOR_CORE_2807	get on well with sb.	n. 与某人相处融洽	/get on well with sb./	/get on well with sb./			
JUNIOR_CORE_2161	get popular	n. 受欢迎；流行	/get popular/	/get popular/			
JUNIOR_CORE_2639	go out of one’s way	n. 特地；格外努力	/go out of one’s way/	/go out of one’s way/			
JUNIOR_CORE_1992	Good evening!	n. 晚上好！	/Good evening!/	/Good evening!/			
JUNIOR_CORE_1989	Good morning!	n. 早上好！	/Good morning!/	/Good morning!/			
JUNIOR_CORE_2045	Happy birthday!	n. 生日快乐！	/Happy birthday!/	/Happy birthday!/			
JUNIOR_CORE_2006	Have a good day!	n. (表示祝愿)过得愉快！	/Have a good day!/	/Have a good day!/			
JUNIOR_CORE_2049	Have a good time!	n. (表示祝愿) 过得愉快！	/Have a good time!/	/Have a good time!/			
JUNIOR_CORE_2023	have.	v. 与过去分词连用构成动词的完成时态	/həv;hæv/	/həv;hæv/			
JUNIOR_CORE_2231	have…in common	n. 有相同特征	/have…in common/	/have…in common/			
JUNIOR_CORE_2067	help (sb) with sth	n. 在某方面帮助（某人）	/help (sb) with sth/	/help (sb) with sth/			
JUNIOR_CORE_2820	here is/are	n. （用于介绍某人或某物）下面	/here is/are/	/here is/are/			
JUNIOR_CORE_2801	here is/are ⋯	n. （用于刚找到某人或某物时）在这儿	/here is/are ⋯/	/here is/are ⋯/			
JUNIOR_CORE_2010	his.	pron. 他的	/hɪz/	/hɪz/			
JUNIOR_CORE_2750	How about ⋯?	n. （征求意见）⋯⋯好吗？⋯⋯行吗？	/How about ⋯?/	/How about ⋯?/			
JUNIOR_CORE_2040	How much...?	n. (购物时)......多少钱？	/How much...?/	/How much...?/			
JUNIOR_CORE_2046	How old...?	n. ....多大年纪？..几岁了？	/How old...?/	/How old...?/			
JUNIOR_CORE_2197	Huangguoshu waterfall	n. 黄果树瀑布	/Huangguoshu waterfall/	/Huangguoshu waterfall/			
JUNIOR_CORE_2725	I'm = I am	n. 我是	/I'm = I am/	/I'm = I am/			
JUNIOR_CORE_2846	in the 1860s	n. 在19世纪60年代	/in the 1860s/	/in the 1860s/			
JUNIOR_CORE_2614	J. K. Rowling	n. J. K. 罗琳（英国作家）	/J. K. Rowling/	/J. K. Rowling/			
JUNIOR_CORE_2527	Jacob   Marley	n. 雅各布 • 马利	/Jacob   Marley/	/Jacob   Marley/			
JUNIOR_CORE_2595	James  Naismith	n. 詹姆斯 • 奈史密斯	/James  Naismith/	/James  Naismith/			
JUNIOR_CORE_2590	Jamie Ellsworth	n. 杰米 • 埃尔斯沃恩	/Jamie Ellsworth/	/Jamie Ellsworth/			
JUNIOR_CORE_2589	Jayce  Coziar	n. 杰斯 • 克里亚	/Jayce  Coziar/	/Jayce  Coziar/			
JUNIOR_CORE_2591	Julie   Thompson	n. 朱莉 • 汤普森	/Julie   Thompson/	/Julie   Thompson/			
JUNIOR_CORE_2914	keep clear of ⋯	n. 不和⋯⋯接触	/keep clear of ⋯/	/keep clear of ⋯/			
JUNIOR_CORE_2709	keep one’s cool	n. 沉住气；保持冷静	/keep one’s cool/	/keep one’s cool/			
JUNIOR_CORE_3065	keep sb./sth. away	n. （使）避开；（使）不靠近	/keep sb./sth. away/	/keep sb./sth. away/			
JUNIOR_CORE_3064	keep x	n. （使）避开；（使）不靠近	/keep x/	/keep x/			
JUNIOR_CORE_2319	keep…to oneself	n. 保守秘密	/keep…to oneself/	/keep…to oneself/			
JUNIOR_CORE_2769	kilo (= kilogram)	n. 千克；公斤	/kilo (= kilogram)/	/kilo (= kilogram)/			
JUNIOR_CORE_2746	lab (= laboratory)	n. 实验室	/lab (= laboratory)/	/lab (= laboratory)/			
JUNIOR_CORE_2554	leaf.	n. 叶；叶子	/liːf/	/lif/			
JUNIOR_CORE_2734	let's = let us	n. 让我们	/let's = let us/	/let's = let us/			
JUNIOR_CORE_2092	listen to…	n. 听……	/listen to…/	/listen to…/			
JUNIOR_CORE_2798	lost and found box	n. 失物招领箱	/lost and found box/	/lost and found box/			
JUNIOR_CORE_2095	make (one’s) bed	n. 铺床	/make (one’s) bed/	/make (one’s) bed/			
